925,Svilojevo,25265,13
926,Svođe,16212,122
927,Svojnovo,35259,104
928,Svrljig,18360,102
929,Sevojno,31205,171
930,Sedlare,35211,80
931,Selevac,11407,5
932,Selenča,21425,51
933,Seleuš,26351,11
934,Senta,24400,81
935,Senje,35233,75
936,Senjski Rudnik,35234,113
937,Sefkerin,26203,41
938,Seča Reka,31262,105
939,Sečanica,18203,134
940,Sečanj,23240,28
941,Sibač,22440,17
942,Sivac,25223,157
943,Sijarinska Banja,16246,160
944,Sikirica,35256,104
945,Sikole,19225,94
946,Silbaš,21433,53
947,Siokovac,35203,20
948,Sip,19326,98
949,Sipić,34213,163
950,Sirig,21214,55
951,Sirogojno,31207,148
952,Sirča,36208,4
953,Sićevo,18311,150
954,Sjenica,36310,45
955,Skela,11509,47
956,Skobalj,11322,123
957,Skorenovac,26228,19
958,Slavkovica,14245,64
959,Slatina,19221,89
960,Slovac,14223,82
961,Smederevska Palanka,11420,5
962,Smederevo,11300,123
963,Smilovci,18323,141
964,Smoljinac,12312,85
965,Sokobanja,18230,128
966,Sombor,25000,6
967,Sonta,25264,13
968,Sopot,11450,162
969,Sot,22243,2
970,Sočanica,38217,159
971,Sremska Mitrovica,22000,73
972,Srbobran,21480,164
973,Srednjevo,12253,114
974,Sremska Kamenica,21202,59
975,Sremska Rača,22247,73
976,Sremski Karlovci,21205,172
977,Sremski Mihaljevci,22413,17
978,Sremčica,11253,110
979,Srpska Crnja,23220,9
980,Srpski Itebej,23233,32
981,Srpski Krstur,23334,33
982,Srpski Miletić,25244,54
983,Stave,14255,93
984,Stajićevo,23204,14
985,Stalać,37212,167
986,Stanišić,25284,6
987,Stapar,25240,6
988,Stara Moravica,24340,25
989,Stara Pazova,22300,34
990,Stari Banovci,22305,34
991,Stari Žednik,24224,24
992,Stari Lec,26371,46
993,Stari Slankamen,22329,74
994,Staro Selo,11324,111
995,Starčevo,26232,31
996,Stejanovci,22405,101
997,Stenjevac,35215,113
998,Stepanovićevo,21212,59
999,Stepojevac,11564,49
1000,Stojnik,34307,15
1001,Stopanja,37242,108
1002,Stragari,34323,71
1003,Straža,26345,107
1004,Strelac,18332,18
1005,Stubal,17512,120
1006,Stubica,35246,104
1007,Stubline,11507,47
1008,Studenica,36343,4
1009,Subotinac,18227,10
1010,Subotica (kod Svijanca),35209,80
1011,Subotica,24000,24
1012,Subotište,22414,17
1013,Sukovo,18322,116
1014,Sumrakovac,19376,83
1015,Supska,35228,75
1016,Surduk,22307,34
1017,Surdulica,17530,86
1018,Susek,21313,35
1019,Sutjeska,23244,28
1020,Tavankut,24214,24
1021,Takovo,32304,88
1022,Taraš,23209,14
1023,Tekeriš,15234,37
1024,Tekija,19325,98
1025,Telečka,25222,6
1026,Temerin,21235,55
1027,Temska,18355,116
1028,Tešica,18212,10
1029,Titel,21240,115
1030,Toba,23222,9
1031,Tovariševo,21424,53
