naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Toba,Nova Crnja,45.68899656634854,20.562098484507427,Košut Lajoša,52
Aleksandrovo,Nova Crnja,45.63171608589236,20.58226346475575,Karađorđeva,88
Aleksandrovo,Nova Crnja,45.63163345745333,20.582756095354245,Karađorđeva,77
Aleksandrovo,Nova Crnja,45.63180553028379,20.58470069616282,Đure Jakšića,86
Aleksandrovo,Nova Crnja,45.6365107300497,20.58461667019426,Karađorđeva,51
Aleksandrovo,Nova Crnja,45.63667861151781,20.58471961583413,Karađorđeva,49A
Aleksandrovo,Nova Crnja,45.63835024096675,20.58652505989375,Nikole Tesle,21
Aleksandrovo,Nova Crnja,45.64156365921766,20.58595350068923,Karađorđeva,32
Aleksandrovo,Nova Crnja,45.64162475625951,20.588939167098378,Đure Jakšića,25A
Aleksandrovo,Nova Crnja,45.645679338068405,20.587998124319245,Karađorđeva,5
Aleksandrovo,Nova Crnja,45.64022027404078,20.590247867256373,Mihajla Pupina,42
Aleksandrovo,Nova Crnja,45.63756058611734,20.59125126198081,Nikole Tesle,31
Aleksandrovo,Nova Crnja,45.63634508744204,20.59132284147607,4.oktobra,46
Aleksandrovo,Nova Crnja,45.63161989869798,20.59248991406896,Žarka Zrenjanina,57
Aleksandrovo,Nova Crnja,45.639642448870234,20.592496944589815,4.oktobra,30
Aleksandrovo,Nova Crnja,45.63988188454515,20.595005953070956,Žarka Zrenjanina,26
Aleksandrovo,Nova Crnja,45.6282988386602,20.598442077551006,Vuka Karadžića,91
Aleksandrovo,Nova Crnja,45.63529417939392,20.59813396883306,Gavrila Principa,44B
Aleksandrovo,Nova Crnja,45.63235137315541,20.59940321330724,Vuka Karadžića,48
Aleksandrovo,Nova Crnja,45.63367269206199,20.599706340717635,Vuka Karadžića,40
Aleksandrovo,Nova Crnja,45.639316964040646,20.601965408603174,Vuka Karadžića,18
Nova Crnja,Nova Crnja,45.66141433219878,20.58999547785531,Kiš Ferenca,37
Nova Crnja,Nova Crnja,45.66455734419788,20.590269714801288,29.novembra,1
Nova Crnja,Nova Crnja,45.66805092108758,20.616474228822668,Magazinska,27
Vojvoda Stepa,Nova Crnja,45.68554431530192,20.644135713028383,Jna,2G
Vojvoda Stepa,Nova Crnja,45.67431816960267,20.653028175781202,Kosovska,31
